Ref,Val,Package,MidX,MidY,Rotation,Layer
"D17","LED","LED_0805_2012Metric",88.534029,-206.679625,10.000000,top
"D17","LED","LED_0805_2012Metric",140.564631,-206.679625,10.000000,top
"D17","LED","LED_0805_2012Metric",192.595233,-65.649023,10.000000,top
"D17","LED","LED_0805_2012Metric",88.534029,-65.649023,10.000000,top
"D17","LED","LED_0805_2012Metric",140.564631,-65.649023,10.000000,top
"D17","LED","LED_0805_2012Metric",192.595233,-206.679625,10.000000,top
"D17","LED","LED_0805_2012Metric",192.595233,-136.164324,10.000000,top
"D17","LED","LED_0805_2012Metric",140.564631,-136.164324,10.000000,top
"D17","LED","LED_0805_2012Metric",36.503427,-136.164324,10.000000,top
"D17","LED","LED_0805_2012Metric",36.503427,-65.649023,10.000000,top
"D17","LED","LED_0805_2012Metric",88.534029,-136.164324,10.000000,top
"D17","LED","LED_0805_2012Metric",36.503427,-206.679625,10.000000,top
"D18","LED","LED_0805_2012Metric",54.122449,-191.895510,70.000000,top
"D18","LED","LED_0805_2012Metric",158.183653,-121.380209,70.000000,top
"D18","LED","LED_0805_2012Metric",54.122449,-50.864908,70.000000,top
"D18","LED","LED_0805_2012Metric",106.153051,-50.864908,70.000000,top
"D18","LED","LED_0805_2012Metric",106.153051,-191.895510,70.000000,top
"D18","LED","LED_0805_2012Metric",54.122449,-121.380209,70.000000,top
"D18","LED","LED_0805_2012Metric",210.214255,-121.380209,70.000000,top
"D18","LED","LED_0805_2012Metric",106.153051,-121.380209,70.000000,top
"D18","LED","LED_0805_2012Metric",158.183653,-191.895510,70.000000,top
"D18","LED","LED_0805_2012Metric",210.214255,-191.895510,70.000000,top
"D18","LED","LED_0805_2012Metric",210.214255,-50.864908,70.000000,top
"D18","LED","LED_0805_2012Metric",158.183653,-50.864908,70.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",205.413825,-104.763746,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",49.322019,-34.248445,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",153.383223,-34.248445,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",205.413825,-175.279047,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",205.413825,-34.248445,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",101.352621,-34.248445,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",49.322019,-104.763746,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",101.352621,-104.763746,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",49.322019,-175.279047,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",153.383223,-175.279047,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",153.383223,-104.763746,180.000000,top
"L1","1mH","L_Ferrocore_DLG-0403",101.352621,-175.279047,180.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",69.790121,-179.529047,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",69.790121,-109.013746,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",173.851325,-109.013746,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",121.820723,-38.498445,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",17.759519,-109.013746,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",17.759519,-179.529047,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",121.820723,-179.529047,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",17.759519,-38.498445,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",173.851325,-38.498445,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",121.820723,-109.013746,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",173.851325,-179.529047,0.000000,top
"L2","1mH","L_Ferrocore_DLG-0403",69.790121,-38.498445,0.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",40.009519,-200.029047,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",40.009519,-129.513746,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",196.101325,-200.029047,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",144.070723,-200.029047,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",144.070723,-129.513746,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",92.040121,-58.998445,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",92.040121,-129.513746,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",196.101325,-129.513746,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",144.070723,-58.998445,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",92.040121,-200.029047,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",40.009519,-58.998445,90.000000,top
"L3","1mH","L_Ferrocore_DLG-0403",196.101325,-58.998445,90.000000,top
"Q1","AO3401A","SOT-23",102.352621,-38.748445,180.000000,top
"Q1","AO3401A","SOT-23",102.352621,-109.263746,180.000000,top
"Q1","AO3401A","SOT-23",50.322019,-109.263746,180.000000,top
"Q1","AO3401A","SOT-23",50.322019,-38.748445,180.000000,top
"Q1","AO3401A","SOT-23",154.383223,-109.263746,180.000000,top
"Q1","AO3401A","SOT-23",206.413825,-38.748445,180.000000,top
"Q1","AO3401A","SOT-23",102.352621,-179.779047,180.000000,top
"Q1","AO3401A","SOT-23",154.383223,-38.748445,180.000000,top
"Q1","AO3401A","SOT-23",50.322019,-179.779047,180.000000,top
"Q1","AO3401A","SOT-23",154.383223,-179.779047,180.000000,top
"Q1","AO3401A","SOT-23",206.413825,-179.779047,180.000000,top
"Q1","AO3401A","SOT-23",206.413825,-109.263746,180.000000,top
"Q2","AO3401A","SOT-23",16.759519,-33.998445,0.000000,top
"Q2","AO3401A","SOT-23",16.759519,-104.513746,0.000000,top
"Q2","AO3401A","SOT-23",68.790121,-33.998445,0.000000,top
"Q2","AO3401A","SOT-23",172.851325,-175.029047,0.000000,top
"Q2","AO3401A","SOT-23",120.820723,-104.513746,0.000000,top
"Q2","AO3401A","SOT-23",68.790121,-104.513746,0.000000,top
"Q2","AO3401A","SOT-23",68.790121,-175.029047,0.000000,top
"Q2","AO3401A","SOT-23",120.820723,-33.998445,0.000000,top
"Q2","AO3401A","SOT-23",120.820723,-175.029047,0.000000,top
"Q2","AO3401A","SOT-23",16.759519,-175.029047,0.000000,top
"Q2","AO3401A","SOT-23",172.851325,-104.513746,0.000000,top
"Q2","AO3401A","SOT-23",172.851325,-33.998445,0.000000,top
"Q3","AO3401A","SOT-23",139.570723,-201.029047,90.000000,top
"Q3","AO3401A","SOT-23",87.540121,-130.513746,90.000000,top
"Q3","AO3401A","SOT-23",35.509519,-201.029047,90.000000,top
"Q3","AO3401A","SOT-23",191.601325,-130.513746,90.000000,top
"Q3","AO3401A","SOT-23",191.601325,-201.029047,90.000000,top
"Q3","AO3401A","SOT-23",87.540121,-201.029047,90.000000,top
"Q3","AO3401A","SOT-23",139.570723,-130.513746,90.000000,top
"Q3","AO3401A","SOT-23",139.570723,-59.998445,90.000000,top
"Q3","AO3401A","SOT-23",35.509519,-59.998445,90.000000,top
"Q3","AO3401A","SOT-23",87.540121,-59.998445,90.000000,top
"Q3","AO3401A","SOT-23",35.509519,-130.513746,90.000000,top
"Q3","AO3401A","SOT-23",191.601325,-59.998445,90.000000,top
"R1","100k","R_0603_1608Metric",47.322019,-38.748445,90.000000,top
"R1","100k","R_0603_1608Metric",47.322019,-109.263746,90.000000,top
"R1","100k","R_0603_1608Metric",151.383223,-179.779047,90.000000,top
"R1","100k","R_0603_1608Metric",151.383223,-109.263746,90.000000,top
"R1","100k","R_0603_1608Metric",99.352621,-179.779047,90.000000,top
"R1","100k","R_0603_1608Metric",99.352621,-109.263746,90.000000,top
"R1","100k","R_0603_1608Metric",203.413825,-38.748445,90.000000,top
"R1","100k","R_0603_1608Metric",99.352621,-38.748445,90.000000,top
"R1","100k","R_0603_1608Metric",47.322019,-179.779047,90.000000,top
"R1","100k","R_0603_1608Metric",151.383223,-38.748445,90.000000,top
"R1","100k","R_0603_1608Metric",203.413825,-109.263746,90.000000,top
"R1","100k","R_0603_1608Metric",203.413825,-179.779047,90.000000,top
"R2","10","R_0603_1608Metric",85.790121,-44.748445,180.000000,top
"R2","10","R_0603_1608Metric",85.790121,-115.263746,180.000000,top
"R2","10","R_0603_1608Metric",137.820723,-44.748445,180.000000,top
"R2","10","R_0603_1608Metric",33.759519,-185.779047,180.000000,top
"R2","10","R_0603_1608Metric",137.820723,-115.263746,180.000000,top
"R2","10","R_0603_1608Metric",85.790121,-185.779047,180.000000,top
"R2","10","R_0603_1608Metric",137.820723,-185.779047,180.000000,top
"R2","10","R_0603_1608Metric",189.851325,-44.748445,180.000000,top
"R2","10","R_0603_1608Metric",33.759519,-115.263746,180.000000,top
"R2","10","R_0603_1608Metric",33.759519,-44.748445,180.000000,top
"R2","10","R_0603_1608Metric",189.851325,-115.263746,180.000000,top
"R2","10","R_0603_1608Metric",189.851325,-185.779047,180.000000,top
"R3","10","R_0603_1608Metric",137.820723,-42.998445,180.000000,top
"R3","10","R_0603_1608Metric",137.820723,-184.029047,180.000000,top
"R3","10","R_0603_1608Metric",33.759519,-184.029047,180.000000,top
"R3","10","R_0603_1608Metric",189.851325,-184.029047,180.000000,top
"R3","10","R_0603_1608Metric",189.851325,-113.513746,180.000000,top
"R3","10","R_0603_1608Metric",33.759519,-113.513746,180.000000,top
"R3","10","R_0603_1608Metric",85.790121,-42.998445,180.000000,top
"R3","10","R_0603_1608Metric",189.851325,-42.998445,180.000000,top
"R3","10","R_0603_1608Metric",85.790121,-184.029047,180.000000,top
"R3","10","R_0603_1608Metric",33.759519,-42.998445,180.000000,top
"R3","10","R_0603_1608Metric",85.790121,-113.513746,180.000000,top
"R3","10","R_0603_1608Metric",137.820723,-113.513746,180.000000,top
"R4","10","R_0603_1608Metric",189.851325,-41.248445,180.000000,top
"R4","10","R_0603_1608Metric",189.851325,-111.763746,180.000000,top
"R4","10","R_0603_1608Metric",33.759519,-182.279047,180.000000,top
"R4","10","R_0603_1608Metric",33.759519,-111.763746,180.000000,top
"R4","10","R_0603_1608Metric",137.820723,-41.248445,180.000000,top
"R4","10","R_0603_1608Metric",85.790121,-182.279047,180.000000,top
"R4","10","R_0603_1608Metric",137.820723,-182.279047,180.000000,top
"R4","10","R_0603_1608Metric",33.759519,-41.248445,180.000000,top
"R4","10","R_0603_1608Metric",137.820723,-111.763746,180.000000,top
"R4","10","R_0603_1608Metric",85.790121,-111.763746,180.000000,top
"R4","10","R_0603_1608Metric",189.851325,-182.279047,180.000000,top
